back|ritornare
search|cercare
up|su
down|giù
volume|il volume
end|fine
call|la chiamata
end call|terminare la chiamata
waiting|in attesa
save|salvare
cancel|annula
delete|elimina
change|modificare
please|per favore,
enter|accedere
your|il tuo
first|primo
name|nome
first name|nome di battesimo
last|ultimo
last name|cognome
and|e
of|di
one|uno
contact|contatto
associated|associato
with|con
account|account
so|poi
we|noi
can|può
verify|verificare
we can verify|possiamo verificare
identity|l'identità
new|neuvo
pin|pin
restore|ristabilire
please enter your first name, last name, and name of one contact associated with your account so we can verify your identity.|per favore, inserisci il tuo nome, cognome e nome di un contatto associato al tuo account. Quindi possiamo verificare la tua identità.
unread|non letto
out|su
log out|disconnettersi
logout|disconnettersi
add|inserisci
username|nome utente
user name|nome utente
in|in
log in|accesso
login|accesso
forgot|dimenticato
image|immagine
translate|tradurre
send|inviare
click|clic
type|digitare
message|il messaggio
here|qui
type your message here...|scrivi qui il tuo messaggio...
click here to type your message...|clicca qui per digitare il tuo messaggio...
to|a
copy|copiare
text|testo
box|scatola
text box|casella di testo
copy to text box|copia nella casella di testo
translated message|messaggio tradotto
will|volere
appear|apparire
will appear|apparirà
your translated message will appear here...|il tuo messaggio tradotto apparirà qui...
hi|ciao
grandma|nonna
cora|cora
it|esso
was| era
very|molto
nice|simpatico
seeing|vedendo
you|tu
i|io
hope|speranza 
see|vedere
again|ancora
thanks|grazie
malik|malik
had|aveva
a|un
lot|molto
much|molto
of|di
fun|divertimento
too|pure
that|quella
is|è
good|bene
hear|sentire
able|capace
go|partire
dinner|cena
tonight|stasera
hey|ciao
grams|grams
just|appenda
wanted|ricercato
say|dire
happy|felice
birthday|compleanno
thank|grazie
how|come
are|siamo
family|famiglia
us|noi
we're|noi siamo
doing|fare
great|grande
actually|in realtà
we'll|noi
be|essere
heading|intestazione
down|giù
visit|visita
gramps|gramps
next|il prossimo
week|settimana
looking|analizzare
forward|inoltrare
