back|retournez
search|cherchez
up|en haut
down|vers le bas
volume|le volume
end|finissez
call|l'appel
waiting|attente
save|sauvez
cancel|annulez
delete|supprimez
change|changez
please|s'il vous plait,
enter|entrez
your|votre
first|premier
name|nom
first name|prénom
last|dernier
last name|nom de famille
and|et
of|de
one|un
of one|d'un
contact|contact
associated|associé
with|avec
account|compte
so|alors
we|nous
can|allons
verify|vérifier
identity|l'identité
new|nouveau
pin|épingle
restore|restaurez
please enter your first name, last name, and name of one contact associated with your account so we can verify your identity.|s'il vous plait, entrez votre prénom, nom de famille, et nom d'un contact associé avec votre compte. Alors, nous allons vérifier l'identité.
unread|non lu
out|en dehors
log out|déconnectez
logout|déconnectez
add|ajoutez
username|nom d'utilisateur
user name|nom d'utilisateur
in|dans
log in|connectez
login|connectez
forgot|oublié
image|l'image
translate|traduisez
send|envoyez
click|cliquez
type|tapez
message|message
here|ici
type your message here...|tapez votre message ici...
click here to type your message...|cliquez ici pour taper votre message...
to|à
copy|copiez
text|texte
box|boîte
copy to text box|copiez dans la zone de texte
translated message|message traduit
will|a
appear|apparaître
will appear|apparaîtra
your translated message will appear here...|votre message traduit apparaîtra ici...
hi|bonjour
grandma|grand-mère
cora|cora
cora.|cora.
it|il
it!|il!
was|était
very|très
nice|agréable
seeing|voyant
you|toi
you.|toi.
i|je
hope|éspere 
see|voir
again|encore
again!|encore!
thanks|merci
malik|malik
malik.|malik.
had|avait
a|une
lot|beaucoup
much|beacoup
of|de
fun|amusement
fun,|amusement,
too|aussi
too.|aussi.
that|cette
is|est
good|bien
hear|entrendre
hear.|entrendre.
able|capable
go|aller
dinner|dîner
tonight|ce soir
tonight?|ce soir?
hey|salut
grams|grams
grams!|grams!
just|juste
wanted|voulait
say|dire
happy|bon
birthday|anniversaire
birthday!|anniversaire!
thank|remerciez
jazmine|jazmine
jazmine.|jazmine.
how|comment
are|sont
family|famille
family|famille?
oh|oh
oh,|oh,
us|nous
us?|nous?
we're|nous sommes
doing|faire
great|génial
great.|génial.
actually|réellement
actually,|réellement,
we'll|nous allons
be|être
heading|titre
visit|visiter
gramps|gramps
next|prochain
week|semaine
week.|semaine.
looking|regardes
forward|vers l'avant
